team,pct_group_stage,pct_round_of_32,pct_round_of_16,pct_quarter_finals,pct_semi_finals,pct_final,pct_champion
Spain,1.0,0.975,0.803,0.516,0.302,0.184,0.129
France,1.0,0.96,0.616,0.417,0.294,0.178,0.098
Argentina,1.0,0.953,0.501,0.358,0.257,0.183,0.098
Brazil,1.0,0.923,0.681,0.475,0.229,0.147,0.078
Netherlands,1.0,0.922,0.619,0.339,0.206,0.087,0.06
Germany,1.0,0.941,0.649,0.423,0.272,0.123,0.053
Ecuador,1.0,0.801,0.533,0.36,0.209,0.112,0.045
England,1.0,0.964,0.497,0.209,0.136,0.082,0.043
Mexico,1.0,0.892,0.617,0.359,0.188,0.102,0.042
Portugal,1.0,0.934,0.537,0.23,0.148,0.09,0.039
Colombia,1.0,0.808,0.5,0.247,0.142,0.074,0.039
Switzerland,1.0,0.805,0.483,0.271,0.13,0.073,0.038
Croatia,1.0,0.878,0.398,0.186,0.106,0.051,0.028
Morocco,1.0,0.839,0.553,0.305,0.112,0.059,0.027
Canada,1.0,0.882,0.528,0.247,0.102,0.05,0.024
Norway,1.0,0.675,0.376,0.212,0.114,0.046,0.022
Uruguay,1.0,0.771,0.412,0.188,0.102,0.041,0.021
Paraguay,1.0,0.842,0.479,0.198,0.074,0.041,0.018
Belgium,1.0,0.941,0.605,0.246,0.097,0.033,0.017
Australia,1.0,0.752,0.345,0.127,0.039,0.019,0.013
Japan,1.0,0.834,0.426,0.242,0.125,0.048,0.013
South Korea,1.0,0.769,0.401,0.231,0.085,0.02,0.009
Austria,1.0,0.703,0.259,0.126,0.066,0.022,0.009
Scotland,1.0,0.588,0.327,0.135,0.044,0.019,0.007
Sweden,1.0,0.618,0.196,0.083,0.025,0.01,0.006
Senegal,1.0,0.761,0.354,0.182,0.072,0.024,0.005
Czechia,1.0,0.552,0.224,0.095,0.039,0.014,0.005
Panama,1.0,0.553,0.198,0.076,0.023,0.009,0.003
Algeria,1.0,0.678,0.219,0.1,0.044,0.015,0.003
IR Iran,1.0,0.526,0.175,0.044,0.012,0.004,0.002
Egypt,1.0,0.796,0.371,0.11,0.037,0.01,0.002
Bosnia and Herzegovina,1.0,0.58,0.166,0.046,0.007,0.002,0.001
Jordan,1.0,0.327,0.084,0.041,0.019,0.003,0.001
Tunisia,1.0,0.335,0.107,0.042,0.016,0.004,0.001
Iraq,1.0,0.305,0.094,0.033,0.009,0.002,0.001
Türkiye,1.0,0.446,0.114,0.026,0.007,0.001,0.0
South Africa,1.0,0.479,0.148,0.069,0.011,0.004,0.0
USA,1.0,0.709,0.195,0.033,0.007,0.001,0.0
Haiti,1.0,0.315,0.124,0.044,0.005,0.002,0.0
Qatar,1.0,0.37,0.067,0.015,0.003,0.001,0.0
Saudi Arabia,1.0,0.457,0.15,0.04,0.015,0.001,0.0
Cabo Verde,1.0,0.343,0.09,0.012,0.001,0.0,0.0
New Zealand,1.0,0.41,0.167,0.053,0.013,0.0,0.0
Curaçao,1.0,0.418,0.109,0.041,0.017,0.001,0.0
Côte d'Ivoire,1.0,0.464,0.137,0.068,0.007,0.0,0.0
Congo DR,1.0,0.339,0.083,0.012,0.002,0.0,0.0
Uzbekistan,1.0,0.584,0.242,0.081,0.028,0.008,0.0
Ghana,1.0,0.283,0.041,0.007,0.002,0.0,0.0
